id_municipio;Entidad;vozfijat212;vozfijat213;vozfijat214;vozfijat215;vozfijat216;vozfijat217;vozfijat218;vozfijat219;vozfijat220;vozfijat221;vozfijat222;vozfijat223;vozfijat224;vozfijat225;vozfijat226;vozfijat227;vozfijat228;vozfijat229;vozfijat230;vozfijat231;vozfijat232;vozfijat233;vozfijat234;vozfijat235
5819;Toledo;.030577667;.029838711;.029099505;.028359352;.027617306;.026872277;.02612295;.025368089;.024606854;.02383933;.02306704;.022292886;.021519121;.020747501;.019979227;.019215384;.01845718;.017705608;.016961394;.016224474;.015493084;.014765811;.014040874;.013316729
5837;Turbo;.052535579;.051369332;.050200887;.049027007;.047844741;.046651706;.045446157;.044226605;.042992949;.041747224;.040494334;.039242297;.037997827;.036766287;.035551436;.034355059;.033177193;.032016389;.030870255;.029736187;.028609781;.027488073;.026368555;.02524971
5842;Uramita;.025515608;.025023427;.024531115;.024038872;.023546785;.023055136;.022564949;.022077831;.021595689;.021121107;.020658562;.02021366;.019791387;.019396003;.0190301;.018693941;.01838576;.018102292;.017840089;.017594807;.017361511;.017135829;.016914172;.01669403
5847;Urrao;.048157744;.047175843;.046192612;.045205992;.044213802;.043214265;.042206958;.041191448;.040166892;.039132819;.038090385;.037042674;.035992425;.03494234;.033894483;.032850243;.031810425;.030775407;.029745251;.028719889;.027697636;.026677638;.025658991;.024640897
5854;Valdivia;.020402666;.019881133;.01935938;.018837309;.018315148;.017793214;.017271943;.016751919;.016233718;.015718317;.0152076;.014704099;.014210003;.013727104;.013256512;.012798661;.01235333;.011919768;.011496955;.011083255;.010676211;.010273452;.0098729646;.0094732428
5856;Valparaíso;.10612778;.10362585;.10112338;.098619185;.096112274;.093601681;.091086946;.088568866;.086049914;.083535537;.081034906;.078561351;.076125026;.073733531;.071390979;.069098078;.066853456;.064654313;.062497035;.060376167;.058282033;.056205653;.05413907;.052076198
5858;Vegachí;.088906035;.087368749;.085829392;.084284358;.082729369;.081159793;.079571031;.07796035;.076326013;.074669831;.073000155;.071331188;.069675379;.068043724;.066443816;.064879969;.063354097;.061865963;.060412508;.058987781;.05758078;.05618228;.054786425;.053390719
5861;Venecia;.11742293;.11529514;.11316811;.11104425;.10892666;.10682004;.10473082;.10266574;.10063327;.09864448;.096714273;.094861507;.093099795;.091437921;.089879461;.088423289;.087064274;.08579313;.084598191;.08346618;.082376495;.081312336;.080260858;.079213828
5873;Vigía del Fuerte;.014559949;.0143419;.014123428;.013903818;.013682083;.013457208;.013228732;.012996549;.012760933;.012522567;.012282569;.012042521;.011804174;.011569687;.011341345;.011120912;.010909998;.0107102;.010523115;.010349341;.010186691;.010031751;.0098794233;.0097277006
5885;Yalí;.057464182;.055955462;.054444786;.052928671;.051403102;.049864359;.0483092;.046735365;.045141034;.043525901;.041892249;.040245038;.038589269;.036929656;.035269801;.033612136;.03195861;.030310538;.028668571;.027032843;.025401883;.023774937;.022150496;.020527145
5887;Yarumal;.10102526;.099514075;.09800113;.096483521;.094957888;.09342052;.09186779;.09029606;.088702582;.08708635;.085448988;.083795175;.082130022;.080458894;.078786597;.077116854;.075452708;.073796354;.072149009;.070511132;.068879552;.067251794;.065625705;.06399966
5890;Yolombó;.056938291;.055942811;.054945741;.053944319;.052935049;.051914211;.050878368;.049824722;.048751429;.047658276;.046547543;.045424078;.044292718;.043158282;.04202424;.040892757;.039765075;.038641632;.037522383;.036407277;.035294592;.034183484;.033073075;.031962853
5893;Yondó;.036079984;.034941308;.033799764;.032650534;.031487484;.030303583;.02909147;.027844405;.026558101;.02523228;.023872398;.022489272;.021094056;.019697309;.018307365;.01693029;.015569797;.01422738;.012902563;.01159331;.010295941;.0090069221;.0077227396;.0064404155
5895;Zaragoza;.040169697;.039026972;.037883211;.036737055;.03558737;.034433968;.033278264;.032124098;.030975748;.029838687;.028719928;.027627848;.026568577;.025546141;.024562581;.02361789;.022710323;.021835944;.020988917;.020162962;.019351289;.018548183;.017749233;.016951704
8001;Barranquilla;.16248882;.16517204;.16785902;.1705116;.17309612;.175584;.17795216;.18018262;.18226254;.18418333;.18594055;.18753365;.18896635;.19024464;.19137652;.19237362;.19324994;.19402146;.19470611;.19532128;.19588456;.19641341;.19692543;.19743168
8078;Baranoa;.028859777;.028864956;.028869884;.028873734;.028874055;.028870011;.028862307;.028852325;.028841324;.028829552;.028815255;.028796565;.028771484;.028737323;.028691057;.028631544;.028559143;.028474344;.028378004;.028271886;.028158233;.028039405;.027917506;.027794102
8137;Campo de La Cruz;.0035092491;.0033323611;.0031567318;.0029832895;.002812787;.00264588;.0024832794;.0023255986;.0021733085;.0020266904;.001885744;.001750206;.0016196048;.0014932707;.0013704225;.0012502495;.0011319137;.0010146294;.00089773943;.00078067317;.00066302228;.00054461713;.00042556316;.00030631773
8141;Candelaria;.0010484102;.0010196543;.00099135365;.0009640319;.00093829905;.00091486709;.00089456636;.00087830878;.00086700032;.00086149987;.00086247601;.00087040995;.00088569504;.00090853142;.00093891606;.00097662851;.0010212614;.001072147;.0011283288;.0011884798;.0012508675;.0013133156;.0013731155;.0014320202
8296;Galapa;.036689382;.038389564;.040091924;.041793395;.043492422;.045188755;.046882112;.048569839;.050249096;.051915649;.053562131;.055183098;.056775875;.058340784;.059881419;.061405092;.062921353;.064438768;.065963186;.06749662;.069037385;.070583798;.072135024;.073688246
