id_municipio;tvt212;tvt213;tvt214;tvt215;tvt216;tvt217;tvt218;tvt219;tvt220;tvt221;tvt222;tvt223;tvt224;tvt225;tvt226;tvt227;tvt228;tvt229;tvt230;tvt231;tvt232;tvt233;tvt234;tvt235
52215;.001714495;.0017506263;.0017861807;.001820116;.0018511268;.0018778021;.0018987391;.0019127955;.0019187608;.0019156168;.0019024417;.0018782791;.001842233;.0017933943;.0017309064;.0016542182;.0015632114;.0014582037;.001341294;.0012162949;.0010861804;.0009531643;.00081878144;.0006839711
52224;.001308942;.0022488236;.0031878871;.0041239089;.0050526732;.0059673861;.0068600797;.0077231647;.0085495971;.0093300678;.010055398;.010719699;.011319536;.011856776;.012337471;.012773388;.013181398;.01358333;.013992776;.014415413;.014851271;.01529655;.015744559;.016192976
52227;.0019166691;.002235668;.0025540818;.0028706938;.0031835064;.0034897455;.003786176;.0040695509;.0043372;.0045862957;.0048146686;.0050215581;.0052089668;.0053808424;.005541428;.0056948303;.0058442792;.0059944144;.0061475886;.0063040843;.0064625936;.0066216597;.0067801662;.006938247
52240;.031572588;.031794082;.032015059;.032234412;.032452684;.032672476;.032899301;.033142257;.033413872;.03372632;.034088396;.034505557;.03497903;.035506342;.036081899;.036697526;.037344832;.03801569;.038701739;.039395418;.040091649;.040787444;.041481659;.042175058
52250;.0037702036;.0043920712;.0050149709;.0056401198;.0062689288;.0069028731;.0075432304;.0081918836;.008851747;.0095268041;.010221479;.010940148;.011686387;.012463165;.01327243;.014114499;.014987716;.015888756;.016814064;.01775944;.018720852;.019693164;.020670839;.021650193
52256;.0059955101;.0055526053;.0051085022;.0046622162;.0042144596;.0037677519;.003327017;.0028998766;.0024918735;.0021067378;.0017466428;.0014124442;.0011039065;.00081991154;.00055865105;.00031780422;.000094701267;-.0001135263;-.00030980617;-.000496995;-.00067775598;-.00085444149;-.0010289805;-.0012027676
52258;.0027004092;.0024927254;.0022849292;.0020771206;.0018699857;.001664931;.0014640252;.0012704697;.0010865506;.00091376022;.00075291155;.00060424663;.00046753691;.00034217615;.0002272659;.0001216939;.000024205805;-.000066528781;-.00015185538;-.00023307791;-.00031140543;-.00038790129;-.0004634342;-.00053863047
52260;.0044999975;.0043623094;.0042228848;.0040789321;.0039273836;.0037652943;.0035900937;.0033998473;.0031931284;.0029692471;.0027285405;.0024727273;.0022053218;.0019317566;.0016560862;.0013811573;.001108782;.00083990867;.00057479308;.00031316603;.000054398901;-.00020233255;-.00045788658;-.00071299501
52287;.0014313208;.0017880434;.0021445311;.0025003757;.0028546804;.0032058384;.0035513137;.0038878033;.0042127394;.0045242747;.0048214691;.0051040989;.0053725764;.0056274901;.0058697318;.0061003445;.0063211499;.0065343231;.0067422618;.0069470718;.0071496665;.0073497402;.007548193;.0077459356
52317;.0038484251;.0051864637;.0065226825;.0078527648;.0091691008;.010460194;.011711415;.012905578;.014024545;.015047887;.015954789;.016730096;.017363032;.017847495;.018185332;.018388635;.018479243;.018491311;.018450467;.018374654;.018276159;.018164013;.018044405;.017922312
52320;.0024683012;.0032830862;.0040965793;.0049058399;.0057058204;.0064898264;.0072503439;.0079803411;.0086738886;.0093243318;.0099264504;.010476897;.010973646;.011415404;.011804988;.012149867;.012461544;.012756011;.013043164;.013327056;.013608542;.013887587;.014164245;.014439589
52323;-.000065862383;.000150016;.00036647913;.00058477884;.00080680707;.001035068;.0012722128;.0015210059;.0017843931;.0020652376;.0023662632;.0026898794;.0030378834;.0034112588;.0038098481;.0042322292;.0046752482;.0051348382;.0056070411;.0060884771;.0065765898;.0070688031;.0075629726;.0080577265
52352;.00063064124;.00069100806;.00075135025;.00081165379;.00087202335;.00093264313;.00099359162;.0010549477;.0011168246;.0011793288;.0012425927;.0013066618;.0013714526;.0014367114;.0015022594;.0015678055;.0016329759;.0016974125;.0017612979;.0018248867;.0018884622;.0019522246;.0020161069;.0020801546
