"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10"
"192";"5266";"68547";"63470";"8638";"27006";"70235";"8560";"47960";"25797";"15808"
"193";"25473";"25754";"76563";"5313";"19517";"85300";"25312";"15109";"54398";"5631"
"194";"25126";"50001";"19573";"15491";"23419";"15296";"52079";"68705";"44110";"76130"
"195";"68276";"25899";"66687";"25320";"15185";"13688";"18592";"41503";"15380";"15293"
"196";"5380";"76622";"73168";"5895";"15673";"73622";"25123";"47205";"15466";"15820"
"197";"5001";"15001";"76828";"5036";"20787";"20570";"52480";"52720";"54051";"13647"
"198";"5212";"25817";"5541";"5842";"70265";"41530";"15755";"25324";"54223";"50370"
"199";"5360";"5088";"5425";"66088";"23500";"15676";"15790";"52352";"68780";"76863"
"200";"11001";"66170";"5353";"13430";"68013";"25372";"68385";"15362";"66383";"15808"
"201";"5607";"73001";"5858";"73861";"15332";"8849";"20032";"52390";"68686";"5631"
"202";"76001";"17001";"5658";"5125";"70400";"68266";"85225";"15131";"25019";"76130"
"203";"5615";"15759";"5501";"25245";"19100";"8421";"25483";"20295";"76845";"15293"
"204";"25175";"15238";"5240";"23182";"19022";"50680";"13780";"47605";"15690";"15820"
"205";"25286";"54405";"5856";"5665";"19693";"25530";"85430";"15442";"54673";"13647"
"206";"63001";"19001";"5576";"5480";"13473";"54250";"70678";"47460";"25095";"50370"
"207";"76364";"76892";"5284";"86320";"19137";"50683";"13433";"15215";"41801";"76863"
"208";"8573";"68307";"25785";"5038";"19785";"50330";"86760";"47258";"86219";"15808"
"209";"25430";"68679";"68432";"25151";"8549";"41359";"73616";"52687";"15638";"5631"
"210";"5059";"17873";"5021";"68572";"63272";"73067";"15223";"41483";"63111";"76130"
"211";"25214";"5318";"76109";"23807";"17614";"20175";"41006";"47161";"99624";"15293"
"212";"68001";"5308";"15176";"5628";"5490";"15740";"8770";"52885";"68255";"15820"
"213";"5266";"5376";"5310";"5040";"73283";"8832";"68377";"68271";"25797";"13647"
"214";"25473";"5321";"5315";"76377";"25053";"68235";"25535";"52210";"54398";"50370"
"215";"25126";"68081";"25001";"25513";"13657";"73555";"73152";"52506";"44110";"76863"
"216";"68276";"54001";"70820";"5051";"5134";"52207";"73520";"52411";"15380";"15808"
"217";"5380";"13001";"5034";"76233";"5055";"15204";"25653";"13894";"15466";"5631"
"218";"5001";"47001";"41615";"76100";"47288";"19809";"44378";"25398";"54051";"76130"
"219";"5212";"76520";"73411";"76869";"13468";"8436";"18460";"20310";"54223";"15293"
"220";"5360";"76111";"5002";"15172";"5819";"52560";"25885";"68773";"68780";"15820"
"221";"11001";"25290";"5674";"25612";"70670";"54871";"73270";"54109";"66383";"13647"
"222";"5607";"76834";"5045";"63401";"68296";"68179";"20238";"13873";"68686";"50370"
"223";"76001";"5042";"5347";"23555";"5044";"50251";"52019";"25368";"25019";"76863"
"224";"5615";"73349";"41132";"68079";"5790";"25596";"13549";"54520";"76845";"15808"
"225";"25175";"25758";"20710";"5154";"41306";"17662";"15681";"47703";"15690";"5631"
