id_municipio;Entidad;tv212;tv213;tv214;tv215;tv216;tv217;tv218;tv219;tv220;tv221;tv222;tv223;tv224;tv225;tv226;tv227;tv228;tv229;tv230;tv231;tv232;tv233;tv234;tv235
19397;La Vega;.000409509725856;.000340051234386;.0003388528700838;.0004502172298134;.000403859098048;.0004696200550126;.0004235021398003;.0004443358290196;.0003986799264657;.0003533022721752;.0003742432581178;.0004828479248513;.0005471387379698;.0005892430409306;.0006093480519904;.0008029513888889;.0007359267536431;.0008635485368249;.0007751812793721;.0008805652799553;.000835609834485;.0013679890560876;.0010662003816997;.0010423979407322
19418;López;.0022011831359356;.0042462845010616;.0040407567688912;.004134701604065;.0046757445750171;.0038741401147341;.0043147806033254;.0040608131530728;.0053402558872613;.0046903157323064;.0052747686126619;.0049714510730459;.0053566601960832;.0053481183455179;.0060254243515321;.0063582118751834;.0077149379264884;.0075072513222999;.0070569054253002;.0062193285068753;.0077124563445867;.0088131325359547;.009329981630088;.0090729211910622
19450;Mercaderes;.0036217752270574;.0047335300996826;.0051204986920465;.0050063970629137;.0049479492418241;.0048340047228782;.0044425316877456;.0047730047730048;.0049365596616515;.0052662213475983;.0052630849988227;.0048723769447982;.0049800796812749;.0060277608803849;.006134630264176;.0066832366749517;.0073965721855767;.0100397175639894;.0113013037845586;.0090353148586855;.0088092386890752;.0098489642080938;.0102275070451577;.0102758544895043
19455;Miranda;.0467092981689637;.0427528400854002;.0411413578222368;.0392310505145484;.0374623848798591;.0352184657583874;.0319649698960044;.0283567930672;.0248074677624149;.017555671294826;.015427707910494;.0179767359887205;.0194475248889474;.0260686265949883;.0230440207843162;.0223705351625263;.0204223489392066;.0198145902984435;.0202607566697753;.0207514198339886;.0219656741033402;.0227844142095829;.021511944758859;.0207274895646989
19473;Morales;.0041254530631489;.0069418570448083;.0072817671987707;.0103560123490562;.0138861801302805;.0193498150671598;.0191971398593246;.0198595865172026;.0186630011809575;.018591527520099;.0168226102054596;.0184108153911335;.0182978396248174;.0212929215422981;.0193750957267575;.0204455994191157;.0193021104530846;.0203331746787244;.0188519683393354;.0167691023598149;.0161728640551468;.0186792203127068;.0163075790606155;.0145468249481816
19513;Padilla;.0408801100137517;.0460691036554832;.0462579917262129;.0478282701481295;.045880208660675;.046821900566394;.0423467137185708;.0411408379606259;.0409426928666203;.0394786789826648;.034589800443459;.0331134229890891;.0321443318616396;.03104523188498;.0279043098779983;.0279443664667602;.0256827982750359;.0264858294414945;.0270348185399917;.0224531691044393;.0254449656235944;.0279315227184966;.0266872945271708;.0262138429752066
19517;Paéz;.0005000330904251;.0006159893228517;.0006728047915402;.0007001371101841;.0008436240927405;.0008702715247157;.0011860508844758;.001326986874369;.0014095243574439;.0014629109058574;.0016876188841693;.0015687840497447;.0013936489426755;.0016732841747022;.0021775710185094;.0038633992273202;.0042740450180663;.0043178377165928;.0050323608761899;.0047392043712191;.0047265877511869;.0083743500866551;.0077713938036271;.0080818668284879
19532;Patía;.0049291435613062;.0054261046503413;.0054696035242291;.0053722611312688;.0054161755626649;.0054318913621728;.0053637277908146;.0055188560916465;.0058956033260102;.0040509419827419;.0042355286105805;.0059384062974727;.0058143139591758;.0061031766759681;.0063906964624889;.0062664185639229;.0072341616220901;.0093683192853933;.0100523674004442;.0092153408320911;.008140965826876;.0260984562236856;.0267165807085819;.0259077105001478
19548;Piendamó;.0136200496947759;.0153152823068186;.0161195227356994;.018271581036277;.0198717369704634;.0227754935689198;.0232898041484964;.0246069070352952;.0258404652702255;.0275568315526898;.0284609978917779;.0323182390523714;.030770658807695;.0342956120092379;.0342013928793068;.0347714690945692;.0329240594955515;.0344253192670738;.0335440646518422;.0324014819804648;.0319848010728654;.0352653242852375;.0345514950166113;.0359387057656267
19573;Puerto Tejada;.0585253812431674;.0570413522220751;.0595945454345022;.064390351360282;.0646247647557312;.065738541391748;.0628729026799547;.0575305768428449;.0557539453979956;.042447297163968;.0410132822127893;.0617365033495337;.0705841180266194;.072969251950436;.0726645487396151;.0722076788830716;.0673366176919388;.0671124858412477;.0672804840886335;.0666869671132765;.0674289192244153;.0692561696211331;.0674772036474164;.0655268182607186
19585;Puracé;.0008542515442239;.0006569007422978;.0006566850538482;.0006564695069914;.000787556605631;.0008529624040417;.0007215480485405;.0007869368483179;.0006556517178075;.0009832841691249;.0008520120592476;.0010484240875434;.0009827687872633;.000786112020963;.0008515097923626;.0020957495579278;.0025539856911314;.0036669613332024;.0059583244667791;.0104098467984811;.0114571910241092;.0366624112082229;.033977642841945;.032013093289689
19622;Rosas;.0211793940552423;.0247337684644452;.0307920961871916;.0436800852294346;.0491622658713575;.0562974203338392;.0562142505397932;.058703381496331;.0618591740780604;.0631952038007617;.0545129411764706;.0554052022252293;.0498386249343241;.0491606714628297;.0438458660680883;.0428059166293142;.0374431267248452;.0354483169496574;.0336828016952933;.0282850779510022;.0245403321470937;.0290981785872945;.0267672286305827;.0226702111948014
19693;San Sebastián;.0004414604984825;.0004404154585826;.0005126045804881;.0005113968439509;.0005102877658508;.0005819239861793;.0003629171278738;.0005069892083726;.0005781913451983;.0005769716202084;.0005037874017165;.0005745475438093;.0005732096155913;.0006433626420759;.0007131904575117;.0005692329585883;.0015617235749272;.0023371104815864;.0028969123154102;.0031721415480051;.0029540019693346;.0047017543859649;.0040610558745274;.0051697638675423
19698;Santander de Quilichao;.0875578479314221;.0924261874197689;.0992601982214866;.1028980393021768;.1062280316344464;.1130112256285696;.1077967653341471;.1062270664611243;.1039236307304663;.0928691849035059;.090151817979391;.1016943716927682;.1045368881695929;.1080143807069454;.1095841211826719;.1091002830357425;.1037100311549336;.1038113583804467;.1040679155995268;.101100312895004;.1016001796040968;.1069913565710113;.1033367229062557;.1003623743173582
19743;Silvia;.0033997277069938;.0041820611587139;.0054966195789589;.0073416371223292;.0085239736759636;.0116755876921151;.0111618309154577;.0137097529746104;.0133518428974747;.0620754129012153;.0659932450310511;.0174445722814764;.0160879557736505;.016564816825387;.0160800594869253;.0168033421011914;.0151460121940853;.0157154545594887;.0151733602670758;.0148789353705871;.0138796990167264;.016141429669485;.014712883755932;.0145452313735117
